NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLX2	T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057]	20	0.4339939057826996	-0.002733031	No	
row_1	RPL38	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	78	0.3552364110946655	-0.034713455	No	
row_2	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	93	0.331643283367157	-0.035862472	No	
row_3	CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	94	0.32969653606414795	-0.026816007	No	
row_4	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	107	0.3139176666736603	-0.026987266	No	
row_5	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	116	0.30378711223602295	-0.024508238	No	
row_6	HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	144	0.27410489320755005	-0.036752876	No	
row_7	LMO4	LIM domain only 4 [Source:HGNC Symbol;Acc:HGNC:6644]	160	0.253629595041275	-0.04077456	No	
row_8	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	182	0.22630618512630463	-0.04993835	No	
row_9	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	185	0.22468383610248566	-0.04523743	No	
row_10	TCF15	transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11627]	189	0.214854896068573	-0.041538272	No	
row_11	NIBAN2	niban apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:25282]	194	0.20585890114307404	-0.038818013	No	
row_12	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	213	0.18869544565677643	-0.046817604	No	
row_13	HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	240	0.16476157307624817	-0.061330423	No	
