NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	93	0.331643283367157	-0.055293597	No	
row_1	MMP12	matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]	103	0.3184586763381958	-0.05098887	No	
row_2	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	107	0.3139176666736603	-0.04254848	No	
row_3	TGM3	transglutaminase 3 [Source:HGNC Symbol;Acc:HGNC:11779]	117	0.30227839946746826	-0.038789324	No	
row_4	DMP1	dentin matrix acidic phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:2932]	169	0.24279646575450897	-0.067057244	No	
row_5	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	172	0.2416912317276001	-0.060337413	No	
row_6	TCF15	transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11627]	189	0.214854896068573	-0.064529605	No	
row_7	GPM6B	glycoprotein M6B [Source:HGNC Symbol;Acc:HGNC:4461]	208	0.1920117437839508	-0.07092162	No	
row_8	MMP10	matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]	239	0.16502778232097626	-0.08680105	No	
row_9	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	245	0.15952418744564056	-0.08499614	No	
row_10	KAZALD1	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	246	0.15926140546798706	-0.07962611	No	
row_11	ANGPTL7	angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]	249	0.1567760407924652	-0.07576948	No	
row_12	SMPD3	sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]	258	0.14831241965293884	-0.076487005	No	
row_13	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	275	0.13542653620243073	-0.08335739	No	
row_14	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	291	0.12403398752212524	-0.08989711	No	
row_15	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	356	0.08495611697435379	-0.1327795	No	
row_16	COL4A3	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	379	0.06700477749109268	-0.14624573	No	
row_17	CST3	cystatin C [Source:HGNC Symbol;Acc:HGNC:2475]	395	0.05742673575878143	-0.15503134	No	
row_18	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	448	0.02207306958734989	-0.19145648	No	
row_19	NTNG1	netrin G1 [Source:HGNC Symbol;Acc:HGNC:23319]	482	0.0077674901112914085	-0.21478285	No	
row_20	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	526	-0.013883547857403755	-0.24505097	No	
row_21	JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	566	-0.03696415573358536	-0.27168164	No	
row_22	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	570	-0.038728244602680206	-0.27252018	No	
row_23	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	578	-0.042106542736291885	-0.276104	No	
row_24	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	580	-0.04436853528022766	-0.27532277	No	
row_25	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	641	-0.07495652884244919	-0.31568313	No	
row_26	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	675	-0.0921463817358017	-0.33616439	No	
row_27	GFOD2	glucose-fructose oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28159]	687	-0.0992727056145668	-0.34067982	No	
row_28	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	694	-0.10333802551031113	-0.34148422	No	
