NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	21	0.4330947697162628	-0.0043515996	No	
row_1	SBSPON	somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]	26	0.42632174491882324	0.0035963927	No	
row_2	PRELP	proline and arginine rich end leucine rich repeat protein [Source:HGNC Symbol;Acc:HGNC:9357]	45	0.38558584451675415	2.3306214E-4	No	
row_3	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	60	0.3691079020500183	-6.161973E-4	No	
row_4	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	63	0.3685734272003174	0.007325008	No	
row_5	MMP8	matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]	93	0.331643283367157	-0.0054857447	No	
row_6	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	101	0.3190290033817291	-0.0024776363	No	
row_7	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	102	0.31899720430374146	0.005665391	No	
row_8	CLEC3B	C-type lectin domain family 3 member B [Source:HGNC Symbol;Acc:HGNC:11891]	129	0.2932397723197937	-0.00592466	No	
row_9	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	172	0.2416912317276001	-0.030569399	No	
row_10	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	180	0.22773082554340363	-0.029891854	No	
row_11	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	212	0.18926751613616943	-0.047804378	No	
row_12	CCN3	cellular communication network factor 3 [Source:HGNC Symbol;Acc:HGNC:7885]	217	0.18153393268585205	-0.046105076	No	
row_13	KAZALD1	Kazal type serine peptidase inhibitor domain 1 [Source:HGNC Symbol;Acc:HGNC:25460]	246	0.15926140546798706	-0.06258254	No	
row_14	ANGPTL7	angiopoietin like 7 [Source:HGNC Symbol;Acc:HGNC:24078]	249	0.1567760407924652	-0.060047872	No	
row_15	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	275	0.13542653620243073	-0.07493274	No	
row_16	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	291	0.12403398752212524	-0.08277167	No	
row_17	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	314	0.11209279298782349	-0.09605114	No	
row_18	COL6A6	collagen type VI alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:27023]	343	0.09169887006282806	-0.11425327	No	
row_19	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	356	0.08495611697435379	-0.12088871	No	
row_20	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	369	0.0722283124923706	-0.12784904	No	
row_21	COL4A3	collagen type IV alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2204]	379	0.06700477749109268	-0.1327417	No	
row_22	SERPINE2	serpin family E member 2 [Source:HGNC Symbol;Acc:HGNC:8951]	396	0.05675011873245239	-0.14303185	No	
row_23	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	444	0.025409085676074028	-0.176866	No	
row_24	FBLN5	fibulin 5 [Source:HGNC Symbol;Acc:HGNC:3602]	448	0.02207306958734989	-0.17850357	No	
row_25	NTNG1	netrin G1 [Source:HGNC Symbol;Acc:HGNC:23319]	482	0.0077674901112914085	-0.20251659	No	
row_26	SERPINB1	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	514	-0.008396578021347523	-0.22504619	No	
row_27	GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	523	-0.013529550284147263	-0.23057023	No	
row_28	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	524	-0.013545284979045391	-0.23022446	No	
row_29	COL18A1	collagen type XVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2195]	526	-0.013883547857403755	-0.23060374	No	
row_30	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	541	-0.020672962069511414	-0.24034747	No	
row_31	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	544	-0.021791141480207443	-0.24125856	No	
row_32	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	564	-0.035275425761938095	-0.25429794	No	
row_33	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	570	-0.038728244602680206	-0.2569777	No	
row_34	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	578	-0.042106542736291885	-0.26103857	No	
row_35	FMOD	fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]	580	-0.04436853528022766	-0.26063967	No	
row_36	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]	649	-0.07994964718818665	-0.30848873	No	
row_37	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	653	-0.08180677890777588	-0.30860147	No	
row_38	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	665	-0.08735576272010803	-0.31444198	No	
row_39	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	670	-0.08983606100082397	-0.31508344	No	
row_40	SERPINH1	serpin family H member 1 [Source:HGNC Symbol;Acc:HGNC:1546]	675	-0.0921463817358017	-0.31566593	No	
row_41	NPPA	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	678	-0.09351284801959991	-0.3147462	No	
row_42	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	696	-0.10371076315641403	-0.32457125	No	
row_43	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	698	-0.10417097061872482	-0.32264575	No	
row_44	FBN2	fibrillin 2 [Source:HGNC Symbol;Acc:HGNC:3604]	705	-0.10849088430404663	-0.32427838	No	
row_45	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	717	-0.11404962092638016	-0.32943746	No	
row_46	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	740	-0.12823736667633057	-0.34230483	No	
row_47	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	742	-0.12964101135730743	-0.33972916	No	
row_48	SPARCL1	SPARC like 1 [Source:HGNC Symbol;Acc:HGNC:11220]	744	-0.1306728720664978	-0.33712715	No	
row_49	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	748	-0.13257819414138794	-0.33594388	No	
row_50	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	798	-0.16234524548053741	-0.3677498	No	
row_51	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	812	-0.1687563806772232	-0.37297976	No	
row_52	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	830	-0.17977119982242584	-0.38086322	No	
row_53	ECM1	extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]	831	-0.1803670972585678	-0.376259	No	
row_54	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	866	-0.19655415415763855	-0.39618656	Yes	
