NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE	21		Rejected!	
GOBP_REPRODUCTION	1442	165		
GOBP_SINGLE_STRAND_BREAK_REPAIR	12		Rejected!	
GOBP_REGULATION_OF_DNA_RECOMBINATION	104		Rejected!	
GOBP_REGULATION_OF_MITOTIC_RECOMBINATION	6		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	28		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	21		Rejected!	
GOBP_VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	34		Rejected!	
GOBP_TRANSITION_METAL_ION_TRANSPORT	127		Rejected!	
GOBP_UREA_CYCLE	11		Rejected!	
GOBP_CITRULLINE_METABOLIC_PROCESS	8		Rejected!	
GOBP_RIBOSOMAL_LARGE_SUBUNIT_EXPORT_FROM_NUCLEUS	7		Rejected!	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_EXPORT_FROM_NUCLEUS	8		Rejected!	
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	164		Rejected!	
GOBP_CELL_CYCLE_CHECKPOINT	209	19		
GOBP_DNA_REPLICATION_CHECKPOINT	17		Rejected!	
GOBP_REGULATION_OF_TRANSCRIPTION_INVOLVED_IN_G1_S_TRANSITION_OF_MITOTIC_CELL_CYCLE	35		Rejected!	
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS	37		Rejected!	
GOBP_SULFUR_AMINO_ACID_BIOSYNTHETIC_PROCESS	17		Rejected!	
GOBP_SULFUR_AMINO_ACID_CATABOLIC_PROCESS	14		Rejected!	
GOBP_SULFUR_AMINO_ACID_TRANSPORT	6		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	872	85		
GOBP_ESTABLISHMENT_OF_MITOTIC_SPINDLE_ORIENTATION	28		Rejected!	
GOBP_RRNA_MODIFICATION	40		Rejected!	
GOBP_MAPK_CASCADE	912	119		
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY	39		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	120	37		
GOBP_ACTIVATION_OF_MAPKKK_ACTIVITY	12		Rejected!	
GOBP_ACTIVATION_OF_MAPKK_ACTIVITY	51		Rejected!	
GOBP_ACTIVATION_OF_MAPK_ACTIVITY	154	19		
GOBP_INACTIVATION_OF_MAPK_ACTIVITY	26		Rejected!	
GOBP_PROTEIN_POLYUBIQUITINATION	337	15		
GOBP_MEIOTIC_SPINDLE_ORGANIZATION	12		Rejected!	
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	589	36		
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	25		Rejected!	
GOBP_SPLICEOSOMAL_COMPLEX_ASSEMBLY	78		Rejected!	
GOBP_MITOCHONDRIAL_FISSION	42		Rejected!	
GOBP_PEPTIDOGLYCAN_METABOLIC_PROCESS	6		Rejected!	
GOBP_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	78		Rejected!	
GOBP_POLYSACCHARIDE_CATABOLIC_PROCESS	27		Rejected!	
GOBP_MITOTIC_CELL_CYCLE	1032	69		
GOBP_MITOTIC_CYTOKINESIS	70		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	77		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING	35		Rejected!	
GOBP_DEADENYLATION_DEPENDENT_DECAPPING_OF_NUCLEAR_TRANSCRIBED_MRNA	10		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC	35		Rejected!	
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	224	32		
GOBP_RESPONSE_TO_OXYGEN_RADICAL	29		Rejected!	
GOBP_PROTEIN_DENEDDYLATION	10		Rejected!	
GOBP_FORMATION_OF_QUADRUPLE_SL_U4_U5_U6_SNRNP	10		Rejected!	
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	384		Rejected!	
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	73		Rejected!	
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	57		Rejected!	
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	52		Rejected!	
GOBP_MRNA_3_SPLICE_SITE_RECOGNITION	6		Rejected!	
GOBP_SPLICEOSOMAL_CONFORMATIONAL_CHANGES_TO_GENERATE_CATALYTIC_CONFORMATION	6		Rejected!	
GOBP_RNA_SPLICING_VIA_ENDONUCLEOLYTIC_CLEAVAGE_AND_LIGATION	16		Rejected!	
GOBP_MRNA_5_SPLICE_SITE_RECOGNITION	23		Rejected!	
GOBP_PROTEIN_PEPTIDYL_PROLYL_ISOMERIZATION	43		Rejected!	
GOBP_REGULATION_OF_HISTONE_H3_K36_METHYLATION	7		Rejected!	
GOBP_AUTOPHAGY_OF_MITOCHONDRION	75		Rejected!	
GOBP_MITOPHAGY	24		Rejected!	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_ITS1_TO_SEPARATE_SSU_RRNA_FROM_5_8S_RRNA_AND_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	9		Rejected!	
GOBP_ENZYME_DIRECTED_RRNA_PSEUDOURIDINE_SYNTHESIS	6		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA	35		Rejected!	
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	37		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	15		Rejected!	
GOBP_MATURATION_OF_5_8S_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	24		Rejected!	
GOBP_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	27		Rejected!	
GOBP_MATURATION_OF_LSU_RRNA	28		Rejected!	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	15		Rejected!	
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_IN_5_ETS_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	7		Rejected!	
GOBP_SMALL_NUCLEOLAR_RIBONUCLEOPROTEIN_COMPLEX_ASSEMBLY	10		Rejected!	
GOBP_BOX_C_D_SNORNP_ASSEMBLY	8		Rejected!	
GOBP_EMBRYONIC_AXIS_SPECIFICATION	36		Rejected!	
GOBP_MEIOTIC_MISMATCH_REPAIR	5		Rejected!	
