NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	Details ...	41	-0.5858085	-2.1752713	0.0	0.006668875	0.007	339	tags=59%, list=22%, signal=73%	
GOBP_EYE_MORPHOGENESIS	GOBP_EYE_MORPHOGENESIS	Details ...	21	-0.65764254	-2.1137543	0.0	0.007145086	0.015	188	tags=52%, list=12%, signal=59%	
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	Details ...	43	-0.53625655	-2.0161936	0.0	0.024560431	0.074	254	tags=47%, list=17%, signal=54%	
GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	Details ...	30	-0.5737885	-2.0109162	0.0	0.020088768	0.081	254	tags=50%, list=17%, signal=59%	
GOBP_RESPONSE_TO_RETINOIC_ACID	GOBP_RESPONSE_TO_RETINOIC_ACID	Details ...	19	-0.6391663	-1.9952267	0.0	0.020660581	0.102	460	tags=79%, list=30%, signal=112%	
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	Details ...	32	-0.55639464	-1.9601763	0.001216545	0.027435591	0.158	254	tags=47%, list=17%, signal=55%	
GOBP_CELL_CELL_SIGNALING_BY_WNT	GOBP_CELL_CELL_SIGNALING_BY_WNT	Details ...	52	-0.48818475	-1.8884264	0.0	0.06631807	0.376	339	tags=46%, list=22%, signal=57%	
GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	Details ...	70	-0.45216858	-1.8720601	0.0	0.07251968	0.442	654	tags=66%, list=43%, signal=111%	
GOBP_ARTERY_DEVELOPMENT	GOBP_ARTERY_DEVELOPMENT	Details ...	18	-0.5950596	-1.8416924	0.0	0.09501867	0.572	301	tags=50%, list=20%, signal=62%	
GOBP_CELLULAR_RESPONSE_TO_KETONE	GOBP_CELLULAR_RESPONSE_TO_KETONE	Details ...	16	-0.6117783	-1.8358209	0.001310616	0.09318871	0.599	254	tags=50%, list=17%, signal=59%	
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	Details ...	66	-0.45359734	-1.827782	0.0	0.092303194	0.634	645	tags=73%, list=43%, signal=121%	
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	Details ...	38	-0.4983462	-1.8264048	0.0	0.08597171	0.643	395	tags=50%, list=26%, signal=66%	
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	Details ...	25	-0.54188854	-1.8023195	0.0012437811	0.10927833	0.763	595	tags=68%, list=39%, signal=110%	
GOBP_ODONTOGENESIS	GOBP_ODONTOGENESIS	Details ...	38	-0.4944458	-1.8021258	0.0	0.10160819	0.763	536	tags=68%, list=35%, signal=103%	
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	Details ...	15	-0.61886543	-1.8017199	0.004048583	0.095535435	0.765	144	tags=40%, list=10%, signal=44%	
GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	Details ...	111	-0.41776296	-1.7975593	0.0	0.09405082	0.783	645	tags=67%, list=43%, signal=108%	
GOBP_SENSORY_ORGAN_MORPHOGENESIS	GOBP_SENSORY_ORGAN_MORPHOGENESIS	Details ...	36	-0.49380597	-1.7812614	0.0024096386	0.109303124	0.861	355	tags=47%, list=24%, signal=60%	
GOBP_SODIUM_ION_TRANSPORT	GOBP_SODIUM_ION_TRANSPORT	Details ...	17	-0.58576375	-1.7782787	0.0013020834	0.105792105	0.866	477	tags=76%, list=32%, signal=111%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Details ...	147	-0.401204	-1.7760266	0.0	0.10299801	0.876	645	tags=63%, list=43%, signal=100%	
GOBP_EMBRYO_DEVELOPMENT	GOBP_EMBRYO_DEVELOPMENT	Details ...	144	-0.4020054	-1.7744253	0.0	0.099285595	0.879	377	tags=42%, list=25%, signal=50%	
GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING		59	-0.45192054	-1.7742054	0.0	0.09492212	0.88	339	tags=42%, list=22%, signal=53%	
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		167	-0.3939275	-1.7735255	0.0	0.09113079	0.88	580	tags=57%, list=38%, signal=83%	
GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY	GOBP_POSITIVE_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY		16	-0.583855	-1.7679578	0.0039893617	0.09283394	0.898	300	tags=50%, list=20%, signal=62%	
GOBP_AXIS_SPECIFICATION	GOBP_AXIS_SPECIFICATION		16	-0.59095466	-1.7653321	0.0027586208	0.091596976	0.905	401	tags=63%, list=27%, signal=84%	
GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	GOBP_EMBRYONIC_ORGAN_DEVELOPMENT		65	-0.43306646	-1.7590897	0.0	0.095332615	0.922	401	tags=45%, list=27%, signal=58%	
GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS	GOBP_MULTI_MULTICELLULAR_ORGANISM_PROCESS		47	-0.46157318	-1.7488152	0.0011560693	0.10301975	0.942	336	tags=47%, list=22%, signal=58%	
GOBP_REPRODUCTION	GOBP_REPRODUCTION		165	-0.38817057	-1.7469292	0.0	0.10165223	0.949	369	tags=42%, list=24%, signal=49%	
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	GOBP_ANIMAL_ORGAN_MORPHOGENESIS		170	-0.38965645	-1.7380469	0.0	0.10750361	0.964	401	tags=42%, list=27%, signal=50%	
GOBP_CELL_FATE_COMMITMENT	GOBP_CELL_FATE_COMMITMENT		41	-0.4628849	-1.7335484	0.004733728	0.108952895	0.971	553	tags=66%, list=37%, signal=101%	
GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH	GOBP_ODONTOGENESIS_OF_DENTIN_CONTAINING_TOOTH		21	-0.54534346	-1.7327067	0.0076726344	0.106215574	0.973	395	tags=67%, list=26%, signal=89%	
GOBP_RESPONSE_TO_PEPTIDE_HORMONE	GOBP_RESPONSE_TO_PEPTIDE_HORMONE		61	-0.43703243	-1.7310787	0.0022962112	0.105104625	0.975	336	tags=41%, list=22%, signal=51%	
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	GOBP_COLLAGEN_FIBRIL_ORGANIZATION		19	-0.5551063	-1.7269657	0.0013175231	0.10768644	0.982	645	tags=89%, list=43%, signal=154%	
GOBP_RESPONSE_TO_STEROID_HORMONE	GOBP_RESPONSE_TO_STEROID_HORMONE		67	-0.42242083	-1.7268327	0.0010940919	0.104627684	0.982	324	tags=43%, list=21%, signal=53%	
GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM	GOBP_MORPHOGENESIS_OF_EMBRYONIC_EPITHELIUM		17	-0.5653096	-1.7236594	0.0065789474	0.10478784	0.983	273	tags=59%, list=18%, signal=71%	
GOBP_SENSORY_SYSTEM_DEVELOPMENT	GOBP_SENSORY_SYSTEM_DEVELOPMENT		50	-0.44838718	-1.7164654	0.0011494253	0.11109287	0.987	297	tags=38%, list=20%, signal=46%	
GOBP_EMBRYONIC_MORPHOGENESIS	GOBP_EMBRYONIC_MORPHOGENESIS		97	-0.40517622	-1.7151941	0.0	0.10967998	0.988	476	tags=52%, list=32%, signal=70%	
GOBP_RESPONSE_TO_ACID_CHEMICAL	GOBP_RESPONSE_TO_ACID_CHEMICAL		18	-0.5651211	-1.7108325	0.005242464	0.11259109	0.989	263	tags=50%, list=17%, signal=60%	
GOBP_TUBE_FORMATION	GOBP_TUBE_FORMATION		17	-0.56834143	-1.7084129	0.003911343	0.11242999	0.991	273	tags=59%, list=18%, signal=71%	
GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS	GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS		41	-0.4532409	-1.7067473	0.0070093456	0.1117372	0.994	401	tags=49%, list=27%, signal=65%	
GOBP_FAT_CELL_DIFFERENTIATION	GOBP_FAT_CELL_DIFFERENTIATION		29	-0.49094293	-1.7003244	0.0023980816	0.1169701	0.996	365	tags=55%, list=24%, signal=71%	
GOBP_RESPONSE_TO_HORMONE	GOBP_RESPONSE_TO_HORMONE		136	-0.38201302	-1.6986173	0.0	0.11598275	0.998	395	tags=41%, list=26%, signal=51%	
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS		80	-0.4050623	-1.687117	0.0	0.12813856	0.999	505	tags=48%, list=33%, signal=68%	
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT		20	-0.53567547	-1.6854335	0.00635324	0.12725766	0.999	536	tags=70%, list=35%, signal=107%	
GOMF_INTEGRIN_BINDING	GOMF_INTEGRIN_BINDING		46	-0.44191745	-1.6787349	0.004672897	0.13297008	0.999	567	tags=59%, list=38%, signal=91%	
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS	GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS		19	-0.5463277	-1.6779523	0.007614213	0.13080218	0.999	208	tags=42%, list=14%, signal=48%	
GOBP_SENSORY_ORGAN_DEVELOPMENT	GOBP_SENSORY_ORGAN_DEVELOPMENT		70	-0.4121286	-1.6766006	0.0022123894	0.12966818	0.999	355	tags=40%, list=24%, signal=50%	
GOBP_NEURAL_CREST_CELL_DIFFERENTIATION	GOBP_NEURAL_CREST_CELL_DIFFERENTIATION		15	-0.5839704	-1.6687285	0.004092769	0.1368633	0.999	254	tags=47%, list=17%, signal=56%	
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION		31	-0.48261246	-1.6669399	0.004884005	0.13672705	1.0	281	tags=39%, list=19%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION		17	-0.542478	-1.6582208	0.014084507	0.14665118	1.0	281	tags=41%, list=19%, signal=50%	
GOBP_DIENCEPHALON_DEVELOPMENT	GOBP_DIENCEPHALON_DEVELOPMENT		16	-0.5537079	-1.6573246	0.016905071	0.14492626	1.0	567	tags=75%, list=38%, signal=119%	
GOBP_MESENCHYMAL_CELL_DIFFERENTIATION	GOBP_MESENCHYMAL_CELL_DIFFERENTIATION		37	-0.4480452	-1.6569084	0.0035545023	0.14287499	1.0	254	tags=38%, list=17%, signal=44%	
GOMF_GROWTH_FACTOR_ACTIVITY	GOMF_GROWTH_FACTOR_ACTIVITY		35	-0.45790365	-1.6531868	0.0048367595	0.14541669	1.0	588	tags=63%, list=39%, signal=101%	
GOBP_OSTEOBLAST_DIFFERENTIATION	GOBP_OSTEOBLAST_DIFFERENTIATION		35	-0.45897996	-1.6509998	0.010830325	0.14587376	1.0	174	tags=37%, list=12%, signal=41%	
GOBP_RESPONSE_TO_OSMOTIC_STRESS	GOBP_RESPONSE_TO_OSMOTIC_STRESS		16	-0.5475667	-1.6474851	0.010652463	0.14845784	1.0	297	tags=38%, list=20%, signal=46%	
