NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	38	0.70815647	3.373587	0.0	0.0	0.0	408	tags=79%, list=27%, signal=105%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY	Details ...	37	0.7156345	3.3653045	0.0	0.0	0.0	408	tags=81%, list=27%, signal=108%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	37	0.7156345	3.362186	0.0	0.0	0.0	408	tags=81%, list=27%, signal=108%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	Details ...	37	0.7156345	3.3450031	0.0	0.0	0.0	408	tags=81%, list=27%, signal=108%	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS	Details ...	39	0.69761187	3.3105738	0.0	0.0	0.0	393	tags=77%, list=26%, signal=101%	
GOBP_VIRAL_GENE_EXPRESSION	GOBP_VIRAL_GENE_EXPRESSION	Details ...	42	0.65371466	3.220795	0.0	0.0	0.0	393	tags=74%, list=26%, signal=97%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	Details ...	39	0.6356099	3.0716093	0.0	0.0	0.0	393	tags=77%, list=26%, signal=101%	
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	Details ...	20	0.7198394	2.7792208	0.0	1.633721E-4	0.001	175	tags=70%, list=12%, signal=78%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT	Details ...	42	0.57272094	2.7627587	0.0	1.4521963E-4	0.001	393	tags=74%, list=26%, signal=97%	
GOBP_CYTOPLASMIC_TRANSLATION	GOBP_CYTOPLASMIC_TRANSLATION	Details ...	15	0.7683911	2.7394154	0.0	1.3069768E-4	0.001	322	tags=87%, list=21%, signal=109%	
GOBP_RNA_CATABOLIC_PROCESS	GOBP_RNA_CATABOLIC_PROCESS	Details ...	51	0.53533804	2.6898053	0.0	1.1881606E-4	0.001	393	tags=65%, list=26%, signal=85%	
GOBP_TRANSLATIONAL_INITIATION	GOBP_TRANSLATIONAL_INITIATION	Details ...	44	0.52592975	2.5918736	0.0	2.0220822E-4	0.002	393	tags=68%, list=26%, signal=89%	
GOCC_RIBOSOME	GOCC_RIBOSOME	Details ...	45	0.5130577	2.518555	0.0	4.6723173E-4	0.005	393	tags=71%, list=26%, signal=93%	
GOCC_CYTOSOLIC_RIBOSOME	GOCC_CYTOSOLIC_RIBOSOME	Details ...	40	0.53033555	2.4821858	0.0	5.200015E-4	0.006	393	tags=73%, list=26%, signal=95%	
GOBP_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	43	0.5066505	2.4526296	0.0	6.375102E-4	0.008	393	tags=72%, list=26%, signal=95%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT	Details ...	23	0.5604727	2.3056653	0.0	0.0022579217	0.03	408	tags=78%, list=27%, signal=106%	
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	GOBP_AMIDE_BIOSYNTHETIC_PROCESS	Details ...	73	0.40961006	2.28825	0.0	0.0025547454	0.035	362	tags=53%, list=24%, signal=67%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	Details ...	18	0.57967407	2.245156	0.0	0.003376754	0.048	393	tags=78%, list=26%, signal=104%	
GOCC_POLYSOME	GOCC_POLYSOME	Details ...	15	0.6233294	2.2388182	0.0	0.0033887145	0.051	322	tags=73%, list=21%, signal=92%	
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	Details ...	67	0.41492498	2.218824	0.0	0.0038919742	0.059	362	tags=54%, list=24%, signal=68%	
GOCC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_SMALL_RIBOSOMAL_SUBUNIT		19	0.578902	2.214283	0.0	0.0038174693	0.061	393	tags=74%, list=26%, signal=98%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS		22	0.54210633	2.1663418	0.0	0.005111112	0.086	391	tags=64%, list=26%, signal=85%	
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT		21	0.54623914	2.1510682	0.0	0.00547519	0.097	408	tags=76%, list=27%, signal=103%	
GOCC_RIBONUCLEOPROTEIN_COMPLEX	GOCC_RIBONUCLEOPROTEIN_COMPLEX		65	0.38889515	2.1202343	0.0	0.0066386354	0.123	362	tags=52%, list=24%, signal=66%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS		26	0.48540357	2.1080997	0.0	0.006872818	0.133	391	tags=62%, list=26%, signal=82%	
GOBP_MRNA_METABOLIC_PROCESS	GOBP_MRNA_METABOLIC_PROCESS		64	0.40601858	2.10648	0.0	0.006656727	0.134	362	tags=48%, list=24%, signal=61%	
GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS	GOBP_SULFUR_COMPOUND_BIOSYNTHETIC_PROCESS		18	0.5437818	2.1050868	0.0	0.0064960155	0.135	175	tags=50%, list=12%, signal=56%	
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS	GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS		28	0.46362674	1.9924877	0.0	0.014695892	0.289	192	tags=43%, list=13%, signal=48%	
GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX	GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX		21	0.49753252	1.9871562	0.0	0.014477391	0.295	365	tags=71%, list=24%, signal=93%	
GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS	GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS		71	0.34956145	1.9023153	0.0	0.025292013	0.471	362	tags=49%, list=24%, signal=62%	
GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE	GOBP_CELLULAR_RESPONSE_TO_TOXIC_SUBSTANCE		29	0.4282797	1.8965622	0.0	0.025928112	0.492	175	tags=41%, list=12%, signal=46%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS		17	0.51505196	1.892795	0.0	0.025871266	0.502	391	tags=65%, list=26%, signal=86%	
GOMF_RNA_BINDING	GOMF_RNA_BINDING		123	0.31357032	1.8879493	0.0	0.026061144	0.517	315	tags=38%, list=21%, signal=44%	
GOBP_DETOXIFICATION	GOBP_DETOXIFICATION		32	0.4240886	1.8878601	0.005235602	0.025326427	0.517	179	tags=41%, list=12%, signal=45%	
GOBP_PROTEIN_TARGETING	GOBP_PROTEIN_TARGETING		53	0.36746252	1.8869704	0.0	0.024738785	0.519	393	tags=64%, list=26%, signal=84%	
GOCC_NEURON_SPINE	GOCC_NEURON_SPINE		15	0.53242636	1.88223	0.008583691	0.024647519	0.527	196	tags=27%, list=13%, signal=30%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE		67	0.347921	1.8379079	0.0	0.032716945	0.637	393	tags=58%, list=26%, signal=75%	
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	GOBP_CELLULAR_OXIDANT_DETOXIFICATION		27	0.4337643	1.8312335	0.0	0.033084486	0.648	153	tags=41%, list=10%, signal=45%	
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX		19	0.47195476	1.8295586	0.004672897	0.032555286	0.652	435	tags=84%, list=29%, signal=117%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE		54	0.3611366	1.8160446	0.0	0.03486347	0.683	393	tags=63%, list=26%, signal=82%	
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION		18	0.4634369	1.7868241	0.016460905	0.04040239	0.742	77	tags=22%, list=5%, signal=23%	
GOBP_SUPEROXIDE_METABOLIC_PROCESS	GOBP_SUPEROXIDE_METABOLIC_PROCESS		15	0.49936378	1.77076	0.008097166	0.043513287	0.78	107	tags=40%, list=7%, signal=43%	
GOMF_MONOCARBOXYLIC_ACID_BINDING	GOMF_MONOCARBOXYLIC_ACID_BINDING		15	0.4764576	1.760093	0.007662835	0.045540772	0.808	185	tags=53%, list=12%, signal=60%	
GOBP_OXIDATIVE_PHOSPHORYLATION	GOBP_OXIDATIVE_PHOSPHORYLATION		16	0.47728905	1.7596558	0.007843138	0.0445856	0.809	435	tags=88%, list=29%, signal=122%	
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT		16	0.47285703	1.7576272	0.004149378	0.04435139	0.817	435	tags=81%, list=29%, signal=113%	
GOMF_RRNA_BINDING	GOMF_RRNA_BINDING		15	0.47459835	1.7302513	0.017621145	0.05230516	0.866	393	tags=60%, list=26%, signal=80%	
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION		15	0.48125774	1.7281926	0.012448133	0.05195725	0.871	375	tags=60%, list=25%, signal=79%	
GOBP_PEPTIDE_METABOLIC_PROCESS	GOBP_PEPTIDE_METABOLIC_PROCESS		87	0.30114326	1.7170113	0.0	0.054616407	0.885	362	tags=47%, list=24%, signal=58%	
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE		15	0.49352452	1.7164272	0.027237354	0.053640496	0.886	221	tags=40%, list=15%, signal=46%	
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY		24	0.4047404	1.6736192	0.029411765	0.06916099	0.945	202	tags=29%, list=13%, signal=33%	
GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS	GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS		62	0.3151026	1.6645287	0.010416667	0.071541466	0.958	185	tags=32%, list=12%, signal=35%	
GOBP_FATTY_ACID_METABOLIC_PROCESS	GOBP_FATTY_ACID_METABOLIC_PROCESS		34	0.3658259	1.66278	0.019354839	0.07111056	0.961	175	tags=38%, list=12%, signal=42%	
GOMF_PEPTIDE_BINDING	GOMF_PEPTIDE_BINDING		46	0.32862794	1.6608152	0.0	0.07030886	0.963	178	tags=30%, list=12%, signal=33%	
GOBP_NCRNA_PROCESSING	GOBP_NCRNA_PROCESSING		19	0.4155206	1.6410939	0.027149322	0.07828709	0.975	391	tags=58%, list=26%, signal=77%	
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR	GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PEROXIDE_AS_ACCEPTOR		15	0.46386826	1.628766	0.020833334	0.083343506	0.979	153	tags=47%, list=10%, signal=51%	
