NAME	TITLE	SCORE	
SHISA3	shisa family member 3 [Source:HGNC Symbol;Acc:HGNC:25159]	0.6350058	
FOXD1	forkhead box D1 [Source:HGNC Symbol;Acc:HGNC:3802]	0.5772797	
SHISA8	shisa family member 8 [Source:HGNC Symbol;Acc:HGNC:18351]	0.56816006	
ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	0.5612565	
AVIL	advillin [Source:HGNC Symbol;Acc:HGNC:14188]	0.52926326	
LY6G6F	lymphocyte antigen 6 family member G6F [Source:HGNC Symbol;Acc:HGNC:13933]	0.52375466	
ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	0.5221798	
MGST1	microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]	0.50955784	
SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	0.49109864	
PGA4	pepsinogen A4 [Source:HGNC Symbol;Acc:HGNC:8886]	0.49083877	
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	0.48535708	
NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	0.48075593	
ACSBG1	acyl-CoA synthetase bubblegum family member 1 [Source:HGNC Symbol;Acc:HGNC:29567]	0.47127852	
DMRTC2	DMRT like family C2 [Source:HGNC Symbol;Acc:HGNC:13911]	0.46616295	
GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	0.45410907	
ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	0.45161796	
HBE1	hemoglobin subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:4830]	0.45082355	
HMGN5	high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013]	0.4489199	
MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	0.4425901	
SPTSSB	serine palmitoyltransferase small subunit B [Source:HGNC Symbol;Acc:HGNC:24045]	0.44077414	
TLX2	T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057]	0.4339939	
S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	0.43309477	
TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	0.43019637	
