NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MT-ND4L	1	mt-Nd4l	
MT-ND4	1	mt-Nd4	
MT-CO1	2	mt-Co1:COX1	
SCT	1	Sct	
AVIL	1	Avil	
SPRING1	1	Spring1	
MT-ND3	1	mt-Nd3	
TMEM92	1	Tmem92	
MYLK	1	Mylk	
MT-ND1	1	mt-Nd1	
SPIB	1	Spib	
VPREB3	1	Vpreb3	
CRHBP	1	Crhbp	
IL4I1	1	Il4i1	
VPREB1	2	Vpreb1:Vpreb2	
LURAP1L	1	Lurap1l	
DPYSL2	1	Dpysl2	
C3AR1	1	C3ar1	
PGLYRP1	1	Pglyrp1	
GBP6	1	Gbp8	
KRTDAP	1	Krtdap	
ZNF287	1	Zfp287	
HES6	1	Hes6	
ESX1	1	Esx1	
HPCAL1	1	Hpcal1	
LDOC1	1	Ldoc1	
PDYN	1	Pdyn	
ISL1	1	Isl1	
CLDN6	1	Cldn6	
MYL4	1	Myl4	
OPRPN	1	C5ar1	
CH25H	1	Ch25h	
CLDN5	1	Cldn5	
RBP7	1	Rbp7	
CLDN4	1	Cldn4	
RBP4	1	Rbp4	
CLDN3	1	Cldn3	
DDX39A	1	Ddx39a	
MYL7	1	Myl7	
NUP210L	1	Nup210l	
SPINT1	1	Spint1	
MYL1	1	Myl1	
DDIT3	1	Ddit3	
CLDN7	1	Cldn7	
RBP1	1	Rbp1	
PSME2	1	Psme2b	
SPARCL1	1	Sparcl1	
AGTR2	1	Agtr2	
MT-CO3	2	COX3:mt-Co3	
MYL9	1	Myl9	
ATF3	1	Atf3	
SLBP	1	Slbp	
CRABP2	1	Crabp2	
ABCB5	1	Abcb5	
CRABP1	1	Crabp1	
NCAPG	1	Ncapg	
LYPD3	1	Lypd3	
THY1	1	Thy1	
GATA2	1	Gata2	
PLA2G7	1	Pla2g7	
GABARAP	1	Gabarap	
SLC5A5	1	Slc5a5	
C3	1	C3	
DYNC2LI1	1	Dync2li1	
HSD11B1	1	Hsd11b1	
HSD11B2	1	Hsd11b2	
SFN	1	Sfn	
PRELID3B	1	Prelid3b	
LYN	1	Lyn	
NGFR	1	Ngfr	
JUN	1	Jun	
NAPSA	1	Napsa	
GSTM1	1	Gstm1	
BTBD17	1	Btbd17	
CADM1	1	Cadm1	
TSLP	1	Tslp	
ABCA6	1	Abca6	
TIPARP	1	Tiparp	
FN1	1	Fn1	
IL31RA	1	Il31ra	
NR0B1	1	Nr0b1	
LYZ	1	Lyz2	
CP	1	Cp	
H1-2	2	Hist1h1c:H1f2	
PGA4	1	Pga5	
COL1A1	1	Col1a1	
DAZL	1	Dazl	
MLLT11	1	Mllt11	
BHMT	1	Bhmt	
COL1A2	1	Col1a2	
MYMX	1	Mymx	
RNF227	1	Rnf227	
FXYD3	1	Fxyd3	
PRXL2A	1	Prxl2a	
FXYD1	1	Fxyd1	
TREML2	1	Treml2	
NANOG	1	Nanog	
HROB	1	Hrob	
HAMP	1	Hamp	
DMRTC1B	1	Dmrtc1a	
GPR18	1	Gpr18	
HLA-DRB1	1	H2-Eb1	
LGMN	1	Lgmn	
PSME3IP1	1	Psme3ip1	
ANXA8L1	1	Anxa8	
RPLP1	2	Gm10073:Rplp1	
RPLP0	1	Rplp0	
EFCAB3	1	Efcab3	
LRRC32	1	Lrrc32	
RCSD1	1	Rcsd1	
SHB	1	Shb	
AREG	1	Areg	
EFCAB8	1	Efcab8	
HOXC10	1	Hoxc10	
ARHGAP4	1	Arhgap4	
SMPD3	1	Smpd3	
SHE	1	She	
TUBA1A	1	Tuba1a	
HEY1	1	Hey1	
CTLA4	1	Ctla4	
NEFL	1	Nefl	
OLR1	1	Olr1	
NEFM	1	Nefm	
DUSP4	1	Dusp4	
DUSP5	1	Dusp5	
FGFBP1	1	Fgfbp1	
LEFTY1	1	Lefty1	
ARG1	1	Arg1	
DUSP1	1	Dusp1	
GSTO1	1	Gsto1	
PGAM1	1	Pgam1	
PGAM2	1	Pgam2	
BGN	1	Bgn	
DNTT	1	Dntt	
FOS	1	Fos	
DUSP9	1	Dusp9	
F3	1	F3	
DUSP6	1	Dusp6	
MMP10	1	Mmp10	
SUMF1	1	Sumf1	
GON7	1	Gon7	
MMP12	1	Mmp12	
MRPL53	1	Mrpl53	
TMEM37	1	Tmem37	
MMP14	1	Mmp14	
TMEFF2	1	Tmeff2	
MBLAC2	1	Mblac2	
MMP13	1	Mmp13	
OAF	1	Oaf	
CDC42EP3	1	Cdc42ep3	
ACSBG1	1	Acsbg1	
NUP62CL	1	Nup62cl	
CRYAB	1	Cryab	
VAMP5	1	Vamp5	
CHST2	1	Chst2	
DMAC1	1	Dmac1	
COL11A1	1	Col11a1	
PELI3	1	Peli3	
CRCT1	1	Crct1	
PTGS2	2	COX2:Ptgs2	
SLC7A3	1	Slc7a3	
SULT1E1	1	Sult1e1	
BGLAP	2	Bglap2:Bglap	
PLAGL1	1	Plagl1	
UCP2	1	Ucp2	
SPP1	1	Spp1	
FLNA	1	Flna	
FLNC	1	Flnc	
GC	1	Gc	
RPS27A	1	Rps27a	
LEFTY2	1	Lefty2	
MEF2D	1	Mef2d	
TP53I11	1	Trp53i11	
JAM2	1	Jam2	
GNAS-AS1	1	Gnasas1	
LRRC26	1	Lrrc26	
EGLN3	1	Egln3	
CENPX	1	Cenpx	
GOLM2	1	Golm2	
CKMT1A	1	Ckmt1	
USP9Y	1	Usp9y	
UNCX	1	Uncx	
PSMB8	1	Psmb8	
HEYL	1	Heyl	
CENPF	1	Cenpf	
COL3A1	1	Col3a1	
FABP3	1	Fabp3	
FABP4	1	Fabp4	
FABP5	1	Fabp5	
FABP7	1	Fabp7	
ETFBKMT	1	Mettl20	
AGRP	1	Agrp	
RPL22L1	1	Rpl22l1	
CRLF1	1	Crlf1	
CRB3	1	Crb3	
UGT1A10	1	Ugt1a7c	
NRROS	1	Nrros	
NCF2	1	Ncf2	
GPR65	1	Gpr65	
NCF4	1	Ncf4	
REG1A	1	Reg1	
HP	1	Hp	
ZBTB21	1	Zbtb21	
PTPRVP	1	Ptprv	
HIKESHI	1	Hikeshi	
CXCL13	1	Cxcl13	
FRY	1	Fry	
CXCL14	1	Cxcl14	
NUDT11	1	Nudt11	
