NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLX2	T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057]	20	0.4339939057826996	0.03511165	No	
row_1	PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	97	0.3260328471660614	0.020149728	No	
row_2	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	179	0.2277657836675644	-0.009222351	No	
row_3	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	235	0.16866959631443024	-0.027594753	No	
row_4	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1 [Source:HGNC Symbol;Acc:HGNC:14687]	306	0.11494127660989761	-0.062162098	No	
row_5	FABP4	fatty acid binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3559]	382	0.06593813747167587	-0.10561481	No	
row_6	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	447	0.02220606617629528	-0.14651431	No	
row_7	TUBB4A	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	583	-0.04777024686336517	-0.23268245	No	
row_8	SSH2	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	589	-0.05011158809065819	-0.23045243	No	
row_9	HEPH	hephaestin [Source:HGNC Symbol;Acc:HGNC:4866]	614	-0.06238245218992233	-0.23972765	No	
row_10	ELAVL2	ELAV like RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3313]	621	-0.06393291056156158	-0.23662558	No	
row_11	CALB2	calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]	624	-0.06634848564863205	-0.23054075	No	
row_12	NUDT11	nudix hydrolase 11 [Source:HGNC Symbol;Acc:HGNC:18011]	709	-0.10974136739969254	-0.27518278	No	
row_13	SNCG	synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]	762	-0.14106683433055878	-0.29461682	No	
row_14	PCDH9	protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]	790	-0.1573035717010498	-0.29528084	No	
row_15	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	836	-0.1837344765663147	-0.3051841	No	
row_16	RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	841	-0.18526533246040344	-0.2871191	No	
row_17	MPP5	membrane palmitoylated protein 5 [Source:HGNC Symbol;Acc:HGNC:18669]	879	-0.20250947773456573	-0.28949305	No	
row_18	CXCR5	C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]	1072	-0.2890622317790985	-0.38724518	No	
row_19	IVL	involucrin [Source:HGNC Symbol;Acc:HGNC:6187]	1141	-0.30151134729385376	-0.3995334	Yes	
row_20	GKN1	gastrokine 1 [Source:HGNC Symbol;Acc:HGNC:23217]	1151	-0.30151134729385376	-0.37182158	Yes	
row_21	FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	1183	-0.3030107915401459	-0.3588569	Yes	
row_22	AQP5	aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]	1214	-0.3134567141532898	-0.34404275	Yes	
row_23	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	1238	-0.3201323449611664	-0.3237342	Yes	
row_24	SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	1273	-0.33504796028137207	-0.3092105	Yes	
row_25	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	1295	-0.3426288068294525	-0.28502312	Yes	
row_26	LENEP	lens epithelial protein [Source:HGNC Symbol;Acc:HGNC:14429]	1311	-0.3519939184188843	-0.25571766	Yes	
row_27	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	1330	-0.36247342824935913	-0.22727087	Yes	
row_28	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	1372	-0.38212400674819946	-0.21221355	Yes	
row_29	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	1386	-0.38830357789993286	-0.17748015	Yes	
row_30	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1399	-0.40021416544914246	-0.14073305	Yes	
row_31	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	1412	-0.4103652536869049	-0.10284755	Yes	
row_32	COL7A1	collagen type VII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2214]	1414	-0.4112602174282074	-0.05740404	Yes	
row_33	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	1494	-0.5321084856987	-0.051289167	Yes	
row_34	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	1495	-0.5419747233390808	0.009491494	Yes	
