NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EHF	ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]	39	0.3926125466823578	0.030510804	No	
row_1	AQP4	aquaporin 4 [Source:HGNC Symbol;Acc:HGNC:637]	161	0.25276124477386475	-0.014551051	No	
row_2	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	356	0.08495611697435379	-0.13315871	No	
row_3	EPO	erythropoietin [Source:HGNC Symbol;Acc:HGNC:3415]	377	0.06740403920412064	-0.13689795	No	
row_4	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	433	0.03175988793373108	-0.16941305	No	
row_5	YBX1	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]	491	0.0018686347175389528	-0.20760413	No	
row_6	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	558	-0.03032108210027218	-0.24774988	No	
row_7	MEIS2	Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]	575	-0.04151482507586479	-0.25253725	No	
row_8	PHOX2B	paired like homeobox 2B [Source:HGNC Symbol;Acc:HGNC:9143]	609	-0.058212652802467346	-0.2663788	No	
row_9	LIX1	limb and CNS expressed 1 [Source:HGNC Symbol;Acc:HGNC:18581]	639	-0.07474406063556671	-0.2751285	No	
row_10	JUN	"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]"	668	-0.08976595103740692	-0.2810292	No	
row_11	GREB1	growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]	723	-0.1178574338555336	-0.3004078	No	
row_12	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	747	-0.13138440251350403	-0.29691085	No	
row_13	PCDH9	protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]	790	-0.1573035717010498	-0.30248287	No	
row_14	ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	818	-0.17247247695922852	-0.2957379	No	
row_15	HOXB6	homeobox B6 [Source:HGNC Symbol;Acc:HGNC:5117]	917	-0.22482340037822723	-0.3293239	No	
row_16	HAMP	hepcidin antimicrobial peptide [Source:HGNC Symbol;Acc:HGNC:15598]	1014	-0.2742118835449219	-0.3544119	No	
row_17	CNN1	calponin 1 [Source:HGNC Symbol;Acc:HGNC:2155]	1195	-0.3071088194847107	-0.43141857	Yes	
row_18	ERG	ETS transcription factor ERG [Source:HGNC Symbol;Acc:HGNC:3446]	1226	-0.3174959421157837	-0.40570724	Yes	
row_19	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	1245	-0.32452428340911865	-0.37088147	Yes	
row_20	NKX6-2	NK6 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:19321]	1320	-0.3573237955570221	-0.3690951	Yes	
row_21	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	1395	-0.3959651589393616	-0.36171576	Yes	
row_22	SFRP5	secreted frizzled related protein 5 [Source:HGNC Symbol;Acc:HGNC:10779]	1441	-0.43607234954833984	-0.3289632	Yes	
row_23	SERPINB6	serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]	1452	-0.4488179385662079	-0.2707491	Yes	
row_24	NPL	N-acetylneuraminate pyruvate lyase [Source:HGNC Symbol;Acc:HGNC:16781]	1455	-0.45106425881385803	-0.20681174	Yes	
row_25	IGF2	insulin like growth factor 2 [Source:HGNC Symbol;Acc:HGNC:5466]	1471	-0.48159700632095337	-0.14722703	Yes	
row_26	MYO1C	myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]	1488	-0.5102289319038391	-0.08417291	Yes	
row_27	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	1506	-0.6747854351997375	0.0020242867	Yes	
