NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	73	0.36050134897232056	-0.014062227	Yes	
row_1	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	74	0.36005106568336487	0.02196785	Yes	
row_2	HES6	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	84	0.34523704648017883	0.050334178	Yes	
row_3	H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	85	0.34456056356430054	0.08481413	Yes	
row_4	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	101	0.3190290033817291	0.10643696	Yes	
row_5	GSDMD	gasdermin D [Source:HGNC Symbol;Acc:HGNC:25697]	111	0.30771031975746155	0.13104801	Yes	
row_6	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	116	0.30378711223602295	0.15870054	Yes	
row_7	MT-RNR1	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]	154	0.2577309310436249	0.15907942	Yes	
row_8	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	157	0.25524580478668213	0.18324807	Yes	
row_9	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	173	0.2374507635831833	0.19670741	Yes	
row_10	COPS9	COP9 signalosome subunit 9 [Source:HGNC Symbol;Acc:HGNC:21314]	176	0.23131351172924042	0.21848118	Yes	
row_11	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	183	0.22600650787353516	0.23697662	Yes	
row_12	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	188	0.2167862355709076	0.25592303	Yes	
row_13	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	207	0.1923254281282425	0.26280627	Yes	
row_14	PRORP	protein only RNase P catalytic subunit [Source:HGNC Symbol;Acc:HGNC:19958]	231	0.172538623213768	0.2642754	Yes	
row_15	EEF1AKMT2	EEF1A lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33787]	257	0.14864228665828705	0.2619796	Yes	
row_16	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	259	0.14821434020996094	0.2761245	Yes	
row_17	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	267	0.1402418613433838	0.28535074	Yes	
row_18	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	281	0.1316101849079132	0.2895923	Yes	
row_19	RPL10	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]	305	0.11506337672472	0.2853099	Yes	
row_20	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	309	0.11375448852777481	0.29463282	Yes	
row_21	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	310	0.11359653621912003	0.30600035	Yes	
row_22	MRPL53	mitochondrial ribosomal protein L53 [Source:HGNC Symbol;Acc:HGNC:16684]	321	0.10635636001825333	0.30977523	Yes	
row_23	HECTD4	HECT domain E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:26611]	339	0.09538894891738892	0.3076449	No	
row_24	RPL27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]	350	0.08908809721469879	0.30969176	No	
row_25	LIPT1	lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]	372	0.06954380869865417	0.30222788	No	
row_26	C11orf98	chromosome 11 open reading frame 98 [Source:HGNC Symbol;Acc:HGNC:51238]	398	0.055395904928445816	0.290601	No	
row_27	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	399	0.05518078804016113	0.2961229	No	
row_28	LBHD1	LBH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28351]	405	0.05217740684747696	0.29791018	No	
row_29	ATP5MC2	ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]	417	0.04321669414639473	0.2946799	No	
row_30	SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	420	0.040670063346624374	0.29737613	No	
row_31	FTL	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	423	0.038783859461545944	0.29988357	No	
row_32	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	435	0.031025763601064682	0.29543334	No	
row_33	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	437	0.02967085875570774	0.2977157	No	
row_34	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	452	0.018741441890597343	0.28997573	No	
row_35	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 [Source:HGNC Symbol;Acc:HGNC:1987]	478	0.008975071832537651	0.27370355	No	
row_36	MARS1	methionyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6898]	590	-0.05054149031639099	0.20252493	No	
row_37	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	597	-0.05299721285700798	0.20370744	No	
row_38	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	635	-0.07193264365196228	0.18549362	No	
row_39	EBF1	EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]	750	-0.13319271802902222	0.12052541	No	
row_40	NFIA	nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]	769	-0.14515352249145508	0.1226882	No	
row_41	UCP2	uncoupling protein 2 [Source:HGNC Symbol;Acc:HGNC:12518]	804	-0.16491232812404633	0.11583921	No	
