NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROK2	prokineticin 2 [Source:HGNC Symbol;Acc:HGNC:18455]	41	0.3897537291049957	0.0037844046	No	
row_1	CAVIN3	caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]	49	0.38140639662742615	0.030081145	No	
row_2	PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	97	0.3260328471660614	0.024581697	No	
row_3	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	116	0.30378711223602295	0.037051696	No	
row_4	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	134	0.2848401367664337	0.048660293	No	
row_5	CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	156	0.25614890456199646	0.055203017	No	
row_6	HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	240	0.16476157307624817	0.012008832	No	
row_7	TMSB10	thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]	346	0.09056372195482254	-0.052236773	No	
row_8	ATP5MC2	ATP synthase membrane subunit c locus 2 [Source:HGNC Symbol;Acc:HGNC:842]	417	0.04321669414639473	-0.09646506	No	
row_9	KALRN	kalirin RhoGEF kinase [Source:HGNC Symbol;Acc:HGNC:4814]	518	-0.01087872963398695	-0.16379164	No	
row_10	RASSF2	Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]	561	-0.034461136907339096	-0.18963362	No	
row_11	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	570	-0.038728244602680206	-0.19193561	No	
row_12	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	670	-0.08983606100082397	-0.25214773	No	
row_13	CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	694	-0.10333802551031113	-0.25941813	No	
row_14	RBMS3	RNA binding motif single stranded interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:13427]	701	-0.1054629385471344	-0.25491926	No	
row_15	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	727	-0.12095149606466293	-0.26211905	No	
row_16	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	740	-0.12823736667633057	-0.2598576	No	
row_17	PGAM2	phosphoglycerate mutase 2 [Source:HGNC Symbol;Acc:HGNC:8889]	800	-0.16331644356250763	-0.28679845	No	
row_18	SMOC2	SPARC related modular calcium binding 2 [Source:HGNC Symbol;Acc:HGNC:20323]	897	-0.21329855918884277	-0.3349062	No	
row_19	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	900	-0.2144712209701538	-0.31879833	No	
row_20	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	976	-0.25562000274658203	-0.3491336	No	
row_21	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1006	-0.27206122875213623	-0.3467516	No	
row_22	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	1053	-0.2844359874725342	-0.35495767	No	
row_23	TBXT	T-box transcription factor T [Source:HGNC Symbol;Acc:HGNC:11515]	1138	-0.30151134729385376	-0.38769352	No	
row_24	UPK1B	uroplakin 1B [Source:HGNC Symbol;Acc:HGNC:12578]	1174	-0.3020695447921753	-0.3869596	No	
row_25	MPZ	myelin protein zero [Source:HGNC Symbol;Acc:HGNC:7225]	1222	-0.31656068563461304	-0.39323074	Yes	
row_26	ERG	ETS transcription factor ERG [Source:HGNC Symbol;Acc:HGNC:3446]	1226	-0.3174959421157837	-0.369412	Yes	
row_27	CCN2	cellular communication network factor 2 [Source:HGNC Symbol;Acc:HGNC:2500]	1248	-0.32522132992744446	-0.35724223	Yes	
row_28	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	1266	-0.33205363154411316	-0.34178734	Yes	
row_29	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	1283	-0.3376322090625763	-0.32519585	Yes	
