NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN5	claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]	230	0.17255112528800964	-0.108957864	No	
row_1	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:685]	285	0.12975330650806427	-0.11100299	No	
row_2	CLDN11	claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]	432	0.03233913332223892	-0.20052633	No	
row_3	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	437	0.02967085875570774	-0.19538736	No	
row_4	AFDN	"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]"	543	-0.021544890478253365	-0.2602223	No	
row_5	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	550	-0.025797415524721146	-0.2574481	No	
row_6	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	570	-0.038728244602680206	-0.25999424	No	
row_7	CLDN3	claudin 3 [Source:HGNC Symbol;Acc:HGNC:2045]	650	-0.0802745521068573	-0.29187858	No	
row_8	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	661	-0.08588980883359909	-0.27594212	No	
row_9	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	704	-0.1084197610616684	-0.2755546	No	
row_10	CLDN23	claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]	878	-0.20226973295211792	-0.3383938	Yes	
row_11	MPP5	membrane palmitoylated protein 5 [Source:HGNC Symbol;Acc:HGNC:18669]	879	-0.20250947773456573	-0.28498447	Yes	
row_12	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	976	-0.25562000274658203	-0.28204066	Yes	
row_13	CDH5	cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]	999	-0.2696456015110016	-0.22569998	Yes	
row_14	KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	1033	-0.27928459644317627	-0.17420466	Yes	
row_15	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1068	-0.2885275185108185	-0.12094321	Yes	
row_16	CRB3	crumbs cell polarity complex component 3 [Source:HGNC Symbol;Acc:HGNC:20237]	1085	-0.29248735308647156	-0.054548766	Yes	
row_17	FLNC	filamin C [Source:HGNC Symbol;Acc:HGNC:3756]	1183	-0.3030107915401459	-0.03977782	Yes	
row_18	CLDN4	claudin 4 [Source:HGNC Symbol;Acc:HGNC:2046]	1187	-0.30409273505210876	0.03840809	Yes	
row_19	CLDN6	claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048]	1252	-0.3267107307910919	0.08159213	Yes	
row_20	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	1293	-0.34252020716667175	0.14506392	Yes	
