NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	41	0.64152783	3.1217225	0.0	0.0	0.0	393	tags=78%, list=26%, signal=103%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING	Details ...	47	0.61586267	3.0793393	0.0	0.0	0.0	393	tags=77%, list=26%, signal=100%	
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Details ...	40	0.63832915	3.044693	0.0	0.0	0.0	393	tags=78%, list=26%, signal=102%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	40	0.63832915	3.044545	0.0	0.0	0.0	393	tags=78%, list=26%, signal=102%	
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Details ...	48	0.60754466	3.0148718	0.0	0.0	0.0	408	tags=73%, list=27%, signal=97%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	40	0.63832915	3.004964	0.0	0.0	0.0	393	tags=78%, list=26%, signal=102%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	46	0.6021444	2.91217	0.0	0.0	0.0	393	tags=76%, list=26%, signal=100%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	Details ...	18	0.7252275	2.8235455	0.0	0.0	0.0	393	tags=83%, list=26%, signal=111%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	43	0.59552693	2.8091958	0.0	0.0	0.0	393	tags=74%, list=26%, signal=98%	
REACTOME_INFLUENZA_INFECTION	REACTOME_INFLUENZA_INFECTION	Details ...	44	0.54962707	2.71344	0.0	0.0	0.0	393	tags=75%, list=26%, signal=98%	
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	Details ...	43	0.56737846	2.7063372	0.0	0.0	0.0	393	tags=74%, list=26%, signal=98%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	43	0.56737846	2.7053797	0.0	0.0	0.0	393	tags=74%, list=26%, signal=98%	
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	Details ...	53	0.52972865	2.7043521	0.0	0.0	0.0	408	tags=68%, list=27%, signal=90%	
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS	Details ...	18	0.67543286	2.5685306	0.0	0.0	0.0	175	tags=67%, list=12%, signal=75%	
REACTOME_METABOLISM_OF_RNA	REACTOME_METABOLISM_OF_RNA	Details ...	60	0.43494105	2.3344269	0.0	1.6388888E-4	0.001	408	tags=63%, list=27%, signal=83%	
