ENSMUSG00000088529,Gm26083
ENSMUSG00000089788,Gm16586
ENSMUSG00000090639,Gm20425
ENSMUSG00000091580,Gm6467
ENSMUSG00000092137,Gcom1
ENSMUSG00000092252,Gm20499
ENSMUSG00000092486,2610524H06Rik
ENSMUSG00000093514,Gm28727
ENSMUSG00000095406,Gm18025
ENSMUSG00000096232,0610012G03Rik
ENSMUSG00000096944,Gm26722
ENSMUSG00000096958,Gm26573
ENSMUSG00000096972,Gm26883
ENSMUSG00000096976,Gm26882
ENSMUSG00000096983,2010015M23Rik
ENSMUSG00000097122,Gm26624
ENSMUSG00000097131,D230017M19Rik
ENSMUSG00000097168,C230088H06Rik
ENSMUSG00000097173,Gm26829
ENSMUSG00000097176,Gm26830
ENSMUSG00000097213,Gm26745
ENSMUSG00000097219,Gm26551
ENSMUSG00000097234,Gm26518
ENSMUSG00000097235,Gm17250
ENSMUSG00000097263,Gm26804
ENSMUSG00000097312,Gm26870
ENSMUSG00000097364,Gm26719
ENSMUSG00000097390,Gm26785
ENSMUSG00000097410,Gm26668
ENSMUSG00000097458,Gm26697
ENSMUSG00000097468,Mdrl
ENSMUSG00000097469,Gm26733
ENSMUSG00000097479,Gm26582
ENSMUSG00000097518,Gm26694
ENSMUSG00000097553,4930455D15Rik
ENSMUSG00000097560,Gm26904
ENSMUSG00000097625,Gm26561
ENSMUSG00000097631,Gm2716
ENSMUSG00000097632,4930552P12Rik
ENSMUSG00000097723,Gm26848
ENSMUSG00000097769,Snhg4
ENSMUSG00000097775,4931440J10Rik
ENSMUSG00000097796,Gm16702
ENSMUSG00000097867,Lppos
ENSMUSG00000097922,4930448N21Rik
ENSMUSG00000097971,Gm26917
ENSMUSG00000098178,Gm42418
ENSMUSG00000099250,Rn7s2
ENSMUSG00000099703,Gm28285
ENSMUSG00000100259,Rplp2-ps1
ENSMUSG00000100618,Gm29595
ENSMUSG00000100725,Gm28062
ENSMUSG00000101556,Gm28869
ENSMUSG00000101716,Gm12057
ENSMUSG00000101924,RP24-72H18.1
ENSMUSG00000103515,9330133O14Rik
ENSMUSG00000103855,Gm37605
ENSMUSG00000105361,AY036118
ENSMUSG00000105383,Gm42641
ENSMUSG00000106793,AL589742.2
ENSMUSG00000106852,AC114588.1
ENSMUSG00000106857,AC107830.1
ENSMUSG00000106931,AC120402.1
ENSMUSG00000107146,AC158396.1
ENSMUSG00000107169,Gm43796
ENSMUSG00000108653,AC155806.1
ENSMUSG00000000325,Arvcf
ENSMUSG00000011052,1700049J03Rik
ENSMUSG00000021745,Ptprg
ENSMUSG00000024952,Rps6ka4
ENSMUSG00000034007,Scaper
ENSMUSG00000035310,Lin54
ENSMUSG00000039530,Tusc3
ENSMUSG00000052429,Prmt1
ENSMUSG00000053656,Dancr
ENSMUSG00000057626,Rpl10-ps6
ENSMUSG00000059511,Gm20563
ENSMUSG00000063180,Gm10126
ENSMUSG00000064798,n-R5s193
ENSMUSG00000065922,n-R5-8s1
ENSMUSG00000065950,AC127369.4
ENSMUSG00000068638,AC113952.9-1
ENSMUSG00000070984,4930552N02Rik
ENSMUSG00000074497,A430078G23Rik
ENSMUSG00000076036,Gm22133
ENSMUSG00000076136,Gm24951
ENSMUSG00000076137,Gm26384
ENSMUSG00000076230,Gm22758
ENSMUSG00000076232,Gm22760
ENSMUSG00000076445,Gm24865
ENSMUSG00000076999,Gm22426
ENSMUSG00000085981,Gm11375
ENSMUSG00000065037,Rn7sk
ENSMUSG00000070632,Btbd8
ENSMUSG00000090399,Gm38399
ENSMUSG00000097377,Gm10822
ENSMUSG00000000325,Arvcf
ENSMUSG00000011052,1700049J03Rik
ENSMUSG00000021745,Ptprg
ENSMUSG00000022915,1700093J21Rik
ENSMUSG00000023577,Iqcf3
ENSMUSG00000024952,Rps6ka4
ENSMUSG00000029386,Tctn2
ENSMUSG00000030771,Micalcl
ENSMUSG00000034007,Scaper
ENSMUSG00000035310,Lin54
ENSMUSG00000035364,4930524J08Rik
ENSMUSG00000039530,Tusc3
ENSMUSG00000044021,Muc19
ENSMUSG00000053656,Dancr
ENSMUSG00000054178,Gm9938
ENSMUSG00000064397,Gm23624
ENSMUSG00000064429,Gm22747
ENSMUSG00000064455,n-R5s56
ENSMUSG00000064494,Gm22063
ENSMUSG00000064519,n-R5s97
ENSMUSG00000064626,Gm22306
ENSMUSG00000064694,Gm24146
ENSMUSG00000064758,Gm26331
ENSMUSG00000064796,Terc
ENSMUSG00000064798,n-R5s193
ENSMUSG00000064831,Gm25698
ENSMUSG00000064840,Gm26204
ENSMUSG00000064938,Mir3068
ENSMUSG00000064981,Snora70
ENSMUSG00000064999,Gm26035
ENSMUSG00000065018,Gm23511
ENSMUSG00000065037,Rn7sk
ENSMUSG00000065083,n-R5s205
ENSMUSG00000065127,Gm26127
ENSMUSG00000065132,Gm24456
ENSMUSG00000065145,Vaultrc5
ENSMUSG00000065158,Gm25483
ENSMUSG00000065254,Gm23973
ENSMUSG00000065311,n-R5s156
ENSMUSG00000065327,Gm22058
ENSMUSG00000065343,Gm25580
ENSMUSG00000065348,Gm25577
ENSMUSG00000065367,Gm24410
ENSMUSG00000065368,Gm24414
ENSMUSG00000065628,Snord33
ENSMUSG00000065645,Gm23875
ENSMUSG00000065683,Gm23731
ENSMUSG00000065770,Gm22155
ENSMUSG00000065773,Rnu1b6
ENSMUSG00000065808,Gm23037
ENSMUSG00000065824,Gm26315
ENSMUSG00000065851,Gm22352
ENSMUSG00000065870,Rnu3a
ENSMUSG00000065893,n-R5s151
ENSMUSG00000065894,n-R5s46
ENSMUSG00000065906,Gm26107
ENSMUSG00000065911,Gm24447
ENSMUSG00000065913,Gm24448
ENSMUSG00000065922,n-R5-8s1
ENSMUSG00000072675,Duxbl2
ENSMUSG00000072812,Ahnak2
ENSMUSG00000074497,A430078G23Rik
ENSMUSG00000074873,AI606181
ENSMUSG00000074876,Spata5l1
ENSMUSG00000075596,B130006D01Rik
ENSMUSG00000075833,Gm22003
ENSMUSG00000075918,n-R5s2
ENSMUSG00000076036,Gm22133
ENSMUSG00000076037,Gm22752
ENSMUSG00000076038,Gm22774
ENSMUSG00000076135,Gm24276
ENSMUSG00000076136,Gm24951
ENSMUSG00000076137,Gm26384
ENSMUSG00000076227,Gm25593
ENSMUSG00000076228,Gm25595
ENSMUSG00000076229,Gm25594
ENSMUSG00000076230,Gm22758
ENSMUSG00000076231,Gm22759
ENSMUSG00000076232,Gm22760
ENSMUSG00000076233,Gm22761
ENSMUSG00000076237,Gm26300
ENSMUSG00000076238,Gm22582
ENSMUSG00000076304,Gm23062
ENSMUSG00000076445,Gm24865
ENSMUSG00000076999,Gm22426
ENSMUSG00000078160,Gm16503
ENSMUSG00000079065,BC005561
ENSMUSG00000079620,Muc4
ENSMUSG00000080345,Gm24586
ENSMUSG00000080346,Gm24588
ENSMUSG00000080370,Gm22952
ENSMUSG00000080410,Gm26472
ENSMUSG00000080473,Gm25315
ENSMUSG00000080519,Gm22194
ENSMUSG00000080666,Gm25000
ENSMUSG00000084536,Gm25844
ENSMUSG00000084566,Gm26477
ENSMUSG00000084671,Gm26023
ENSMUSG00000084674,Gm26027
ENSMUSG00000084683,Gm22025
ENSMUSG00000084708,Gm22988
ENSMUSG00000084722,Gm24140
ENSMUSG00000084729,Gm24139
ENSMUSG00000084744,Gm25291
ENSMUSG00000084749,Gm25288
ENSMUSG00000084956,Gm16194
ENSMUSG00000085249,Gm12847
ENSMUSG00000085550,Gm15658
ENSMUSG00000085883,Gm3848
ENSMUSG00000086093,Gm15341
ENSMUSG00000086138,4930471C06Rik
ENSMUSG00000086149,Gm15598
ENSMUSG00000086151,Gm5698
ENSMUSG00000086465,Gm16049
ENSMUSG00000086899,1600002D24Rik
ENSMUSG00000087062,Gm13587
ENSMUSG00000087146,Gm15205
ENSMUSG00000087594,BC039771
ENSMUSG00000088056,Gm24262
ENSMUSG00000088059,Mir1949
ENSMUSG00000088066,Gm23253
ENSMUSG00000088184,Gm23137
ENSMUSG00000088302,Zakit
ENSMUSG00000088359,Gm24009
ENSMUSG00000088518,Gm24438
ENSMUSG00000088529,Gm26083
ENSMUSG00000088549,Gm24959
ENSMUSG00000088581,Gm22967
ENSMUSG00000088595,Gm24601
ENSMUSG00000088597,Gm24584
ENSMUSG00000088789,Scarna13
ENSMUSG00000088819,Gm22388
ENSMUSG00000088856,Gm24727
ENSMUSG00000088956,Gm24945
ENSMUSG00000089048,Gm26167
ENSMUSG00000089111,Gm25907
ENSMUSG00000089129,Gm26407
ENSMUSG00000089292,Gm23209
ENSMUSG00000089757,Gm16334
ENSMUSG00000089979,Gm15954
ENSMUSG00000090399,Gm38399
ENSMUSG00000090551,A730015C16Rik
ENSMUSG00000090639,Gm20425
ENSMUSG00000090673,Gm340
