NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPM1	nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]	11	0.48075592517852783	0.034091007	Yes	
row_1	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	15	0.451617956161499	0.071215466	Yes	
row_2	HMGN5	high mobility group nucleosome binding domain 5 [Source:HGNC Symbol;Acc:HGNC:8013]	17	0.4489198923110962	0.10949648	Yes	
row_3	EHF	ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]	39	0.3926125466823578	0.12898055	Yes	
row_4	UGT1A6	UDP glucuronosyltransferase family 1 member A6 [Source:HGNC Symbol;Acc:HGNC:12538]	59	0.3706032633781433	0.14794452	Yes	
row_5	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	73	0.36050134897232056	0.17020388	Yes	
row_6	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	81	0.348597913980484	0.19560221	Yes	
row_7	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	101	0.3190290033817291	0.21008837	Yes	
row_8	GSTO1	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	106	0.315805047750473	0.23472577	Yes	
row_9	AGL	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]"	125	0.2955116629600525	0.24786551	Yes	
row_10	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	153	0.25936466455459595	0.25160816	Yes	
row_11	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	162	0.25072675943374634	0.26781365	Yes	
row_12	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	173	0.2374507635831833	0.28147566	Yes	
row_13	PTMA	prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]	211	0.18934187293052673	0.27218467	Yes	
row_14	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	245	0.15952418744564056	0.26308644	Yes	
